🔧 EMA + RSI Bot for BNBUSDT (Maker-only mode: all orders are Limit + PostOnly)
💰 Balance: $96764.86
🎯 TP 0.86% | Soft SL 0.43%
💸 Maker fee (percent): 0.01
📊 BNB: $800.2 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.5 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.5 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.5 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.7 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.7 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.7 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.7 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.7 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.8 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.8 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.8 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.8 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.8 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.8 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.7 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.7 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.7 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.7 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.7 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.7 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.7 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.7 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.7 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.7 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.7 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.7 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.7 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.6 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.5 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.5 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.4 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.3 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.4 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.4 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.4 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.4 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.4 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.3 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.3 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.3 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.3 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.3 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
📊 BNB: $800.3 | 💰 Balance: $96765 | 📍 Buy: 60.42 @ $800.5
